cases,pop,male,agegp,period,b1952
17,1653600,0,1,1,0
93,1337500,0,2,1,0
102,1025000,0,3,1,1
134,618800,0,4,1,1
170,578500,0,5,1,1
191,626300,0,6,1,1
205,584800,0,7,1,1
106,468900,0,8,1,1
448,336000,0,9,1,1
382,361200,0,10,1,1
26,1835200,0,1,2,0
96,1716300,0,2,2,0
149,1364000,0,3,2,0
194,1033700,0,4,2,1
214,620000,0,5,2,1
281,581800,0,6,2,1
183,612100,0,7,2,1
121,537300,0,8,2,1
534,405900,0,9,2,1
373,471800,0,10,2,1
24,364300,0,1,3,0
97,346100,0,2,3,0
172,345100,0,3,3,0
272,327100,0,4,3,0
332,348000,0,5,3,1
449,307200,0,6,3,1
149,238200,0,7,3,1
101,173700,0,8,3,1
522,92600,0,9,3,1
343,227600,0,10,3,1
27,353200,0,1,4,0
105,351600,0,2,4,0
186,340800,0,3,4,0
366,330200,0,4,4,0
367,346000,0,5,4,0
459,313600,0,6,4,1
178,252700,0,7,4,1
121,188800,0,8,4,1
556,100500,0,9,4,1
433,227200,0,10,4,1
25,333700,0,1,5,0
100,350100,0,2,5,0
188,331800,0,3,5,0
360,333100,0,4,5,0
471,335200,0,5,5,0
478,324500,0,6,5,0
220,269400,0,7,5,1
199,202100,0,8,5,1
541,114100,0,9,5,1
389,225700,0,10,5,1
21,333000,0,1,6,0
126,361400,0,2,6,0
391,332500,0,3,6,0
489,341300,0,4,6,0
541,329500,0,5,6,0
1041,340700,0,6,6,0
204,292500,0,7,6,0
164,219300,0,8,6,1
553,132100,0,9,6,1
337,227600,0,10,6,1
31,1628800,1,1,1,0
92,1377000,1,2,1,0
179,1136100,1,3,1,1
190,742300,1,4,1,1
495,687300,1,5,1,1
579,683200,1,6,1,1
486,582500,1,7,1,1
619,409400,1,8,1,1
548,258200,1,9,1,1
310,190700,1,10,1,1
39,1554700,1,1,2,0
102,1652100,1,2,2,0
197,1368000,1,3,2,0
272,1101500,1,4,2,1
511,715300,1,5,2,1
638,659100,1,6,2,1
427,643100,1,7,2,1
399,507800,1,8,2,1
625,322700,1,9,2,1
278,264600,1,10,2,1
36,240100,1,1,3,0
74,233600,1,2,3,0
175,246000,1,3,3,0
177,248800,1,4,3,0
494,297000,1,5,3,1
527,297900,1,6,3,1
401,227700,1,7,3,1
106,168800,1,8,3,1
532,92200,1,9,3,1
444,160600,1,10,3,1
26,234500,1,1,4,0
84,235000,1,2,4,0
123,242200,1,3,4,0
170,245000,1,4,4,0
454,284900,1,5,4,0
680,300300,1,6,4,1
479,239500,1,7,4,1
428,182000,1,8,4,1
621,96600,1,9,4,1
378,164200,1,10,4,1
40,227300,1,1,5,0
115,234600,1,2,5,0
181,234800,1,3,5,0
498,243700,1,4,5,0
753,270700,1,5,5,0
808,303600,1,6,5,0
656,254100,1,7,5,1
492,192900,1,8,5,1
721,107000,1,9,5,1
273,163600,1,10,5,1
31,231800,1,1,6,0
112,238800,1,2,6,0
196,234400,1,3,6,0
444,246400,1,4,6,0
745,262300,1,5,6,0
789,305900,1,6,6,0
548,276000,1,7,6,0
462,205500,1,8,6,1
712,122000,1,9,6,1
349,166900,1,10,6,1
